Date,Boro,Vol
2009-01-13,Brooklyn,3472.0
2009-01-13,Manhattan,11332.0
2009-01-13,Queens,15825.0
2009-01-14,Brooklyn,1666.0
2009-01-14,Manhattan,11264.0
2009-01-14,Queens,14501.0
2009-01-15,Brooklyn,1492.0
2009-01-15,Manhattan,10021.0
2009-01-15,Queens,17263.0
2009-01-16,Brooklyn,1766.0
2009-01-16,Manhattan,11149.0
2009-01-16,Queens,21107.0
2009-01-17,Brooklyn,4572.0
2009-01-17,Manhattan,13390.0
2009-01-17,Queens,578.0
2009-01-18,Brooklyn,4251.0
2009-01-18,Manhattan,3138.0
2009-01-19,Brooklyn,3275.0
2009-01-19,Manhattan,675.0
2009-01-20,Brooklyn,5966.0
2009-01-20,Manhattan,8813.0
2009-01-21,Brooklyn,8742.0
2009-01-21,Manhattan,9963.0
2009-01-22,Brooklyn,9293.0
2009-01-22,Manhattan,9561.0
2009-01-23,Brooklyn,8915.0
2009-01-23,Manhattan,10193.0
2009-01-24,Brooklyn,7891.0
2009-01-24,Manhattan,6807.0
2009-01-25,Brooklyn,6527.0
2009-01-25,Manhattan,5874.0
2009-01-26,Brooklyn,4119.0
2009-01-26,Manhattan,30233.0
2009-01-27,Brooklyn,3130.0
2009-01-27,Manhattan,34436.0
2009-01-28,Brooklyn,282.0
2009-01-28,Manhattan,2890.0
2009-01-29,Brooklyn,2214.0
2009-01-29,Manhattan,29149.0
2009-01-30,Brooklyn,26.0
2009-01-30,Manhattan,37045.0
2009-01-31,Manhattan,35515.0
2009-02-01,Manhattan,26834.0
2009-02-02,Brooklyn,14651.0
2009-02-02,Manhattan,23756.0
2009-02-03,Brooklyn,14652.0
2009-02-03,Manhattan,20584.0
2009-02-04,Brooklyn,15408.0
2009-02-04,Manhattan,23878.0
2009-02-05,Brooklyn,16017.0
2009-02-05,Manhattan,21404.0
2009-02-06,Brooklyn,19628.0
2009-02-06,Manhattan,21100.0
2009-02-06,Staten Island,919.0
2009-02-07,Brooklyn,4667.0
2009-02-07,Manhattan,18794.0
2009-02-07,Staten Island,16.0
2009-02-08,Brooklyn,0.0
2009-02-08,Manhattan,16773.0
2009-02-08,Staten Island,1.0
2009-02-09,Brooklyn,24351.0
2009-02-09,Manhattan,2382.0
2009-02-09,Staten Island,0.0
2009-02-10,Brooklyn,26426.0
2009-02-10,Queens,347.0
2009-02-11,Brooklyn,28539.0
2009-02-11,Queens,459.0
2009-02-12,Brooklyn,29026.0
2009-02-12,Queens,445.0
2009-02-13,Brooklyn,11203.0
2009-02-13,Queens,83.0
2009-02-13,Staten Island,0.0
2009-02-14,Brooklyn,3593.0
2009-02-14,Staten Island,0.0
2009-02-15,Brooklyn,2586.0
2009-02-15,Staten Island,0.0
2009-02-16,Brooklyn,2646.0
2009-02-16,Staten Island,0.0
2009-02-17,Brooklyn,14201.0
2009-02-17,Staten Island,0.0
2009-02-18,Brooklyn,16730.0
2009-02-19,Brooklyn,7244.0
2009-02-20,Brooklyn,1016.0
2009-02-20,Queens,6480.0
2009-02-21,Bronx,3496.0
2009-02-21,Queens,3352.0
2009-02-22,Bronx,4165.0
2009-02-22,Queens,2027.0
2009-02-23,Bronx,748.0
2009-02-23,Brooklyn,3834.0
2009-02-23,Queens,7609.0
2009-02-24,Brooklyn,3568.0
2009-02-24,Queens,7474.0
2009-02-25,Brooklyn,3518.0
2009-02-25,Queens,8802.0
2009-02-26,Brooklyn,3674.0
2009-02-26,Queens,3084.0
2009-02-27,Brooklyn,6731.0
2009-02-27,Queens,1.0
2009-02-28,Brooklyn,4285.0
2009-03-01,Brooklyn,6139.0
2009-03-02,Brooklyn,1389.0
2009-03-03,Brooklyn,99.0
2009-03-04,Brooklyn,5840.0
2009-03-05,Brooklyn,1271.0
2009-03-05,Queens,10616.0
2009-03-06,Queens,17419.0
2009-03-07,Queens,13942.0
2009-03-08,Queens,12569.0
2009-03-09,Queens,15640.0
2009-03-10,Queens,17601.0
2009-03-11,Queens,17664.0
2009-03-12,Queens,18149.0
2009-03-13,Brooklyn,82.0
2009-03-13,Queens,2417.0
